Livsmedelsnamn;Livsmedelsnummer;Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g)
Lök kokt;448;45;1,4;0,1;8,5
Nässelsoppa;450;29;1,1;2;1,5
Paprika förvälld;451;22;0,8;0,1;3,4
Purjolök kokt;452;29;1,5;0,1;4
Rödkål brynt kokt;453;70;1,3;2,3;9,5
Sparrisstuvning;454;65;3,7;2,8;5,9
Spenat fräst;455;54;3,1;3,8;0,7
Spenatstuvning;456;41;3;1,2;3,6
Champinjoner stekta;457;69;3;3,2;5,9
Champinjonstuvning;458;118;3,8;7,5;8,6
Champinjonsås;459;119;4;8,3;7,1
Tomatsallad m vinägrettsås;460;59;0,8;4,8;2,8
Tomatröra italiensk;461;71;1,1;5,3;3,8
Tomatröra mexikansk salsa kall;462;74;1;5,7;4,4
Vegetarisk gryta;463;50;1,2;2;5,5
Vitkålssoppa vegetarisk;464;16;0,7;0,2;2,2
Vitkål kokt;465;36;1,4;0,1;5,7
Brunkål;466;51;1,7;0,2;9
Vitkålssallad pizzasallad;467;143;0,9;12,6;5,9
Vitkålssallad m lingonsylt;468;71;0,8;0,1;15,4
Aubergine kokt;469;20;1,2;0,1;2,3
Aubergine stekt;470;50;1,1;3,6;2,2
Ärter morötter kokta;471;57;3,2;0,3;8,2
Ärter morötter stuvade;472;78;3;3,1;8,6
Ärtpuré;473;36;2,1;0,7;4,3
Grönsaksgryta majs purjo ärter;475;93;4;1,3;14,3
Grönsaksgryta ospec.;478;46;1,7;1,3;5,5
Grönsaksgratäng ospec.;479;92;4,3;4,9;6,7
Grönsakssoppa m pasta m pulver tillagad;480;30;0,9;0,8;4,2
Löksoppa fransk pulver tillagad m vatten;481;25;0,4;0,2;5,2
Grönsakssoppa klar konserv tillagad;482;15;0,6;0,1;2,3
Grönsakssoppa klar pulver tillagad;483;21;1,2;0,4;3,1
Grönsakssoppa redd pulver tillagad m vatten mjölk;484;49;1,7;2,2;5,1
Grönsakssoppa redd pulver tillagad typ Varma koppen;486;45;0,5;2,2;5,3
Gurka inlagd;487;59;0,7;0,7;11,4
Bostongurka;488;79;1;0,4;16,6
Gurka fermenterad u lag;489;9;1;0;1
Saltgurka u lag;490;15;0,9;0,2;1,4
Ättiksgurka u lag;491;43;0,9;0,3;8,2
Kronärtskocka kokt;492;52;2,8;0,2;9,4
Champinjonsoppa pulver tillagad m vatten mjölk;493;56;1,6;2,6;6,5
Champinjonsoppa redd konserv tillagad m mjölk;494;64;2,3;3,7;5,5
Majskolv kokt;495;100;3,3;1;17,3
Blomkålssoppa pulver tillagad m vatten mjölk;496;51;1,6;2,2;5,9
Tomatsoppa pulver tillagad m vatten;497;33;1;0,8;4,6
Tomatsoppa konserv tillagad m vatten mjölk;498;45;1,2;1,4;6,3
Sparrissoppa pulver tillagad m vatten mjölk;499;51;1,4;2,3;5,9
Rödkål konserv;500;72;1,5;0,2;15
Champinjonsås pulver tillagad m mjölk smör;501;113;3,6;7,5;7,6
Grönsaker blandade fermenterade;502;15;1,2;0,1;1,1
Grönsaksjuice fermenterad;503;22;1,5;0,1;3,5
Kåldolmar råa u sås frysta;504;88;5;5;5,2
Vitkålssoppa m fläskkorv hemlagad;505;47;2,2;3,4;1,6
Minestronesoppa;506;38;2,2;0,6;5,3
Paprika fylld m tomatsås;507;57;4;2,7;3,5
Vitkålssoppa m frikadeller;508;33;2,3;0,9;3,1
Får i kål;510;62;6,3;2,7;2,4
Kåldolmar stekta;511;121;6,6;6,1;9
Kålpudding;512;92;6;4,4;6,6
Kycklingsallad m dressing;513;105;12,2;4;4,6
Kycklingsallad u dressing;514;83;10,4;3,1;3
Moussaka;515;107;7,8;6,1;4,4
Wokgrönsaker m kyckling nudlar;518;101;5,6;4,6;8,6
Kycklingsallad ananas paprika vitlöksdressing;519;75;4,5;5,2;2,4
Granatäpple;520;56;0,7;0,6;7
Grapefrukt;521;36;0,7;0,1;7
Guava;522;53;0,8;0,6;10
Hallon;523;34;1,2;0,6;4,1
Hallon sockrade frysta;524;82;0,7;0,2;17,6
Hjortron;525;54;1,3;0,9;7
Jordgubbar;526;41;0,5;0,2;8,3
Jordgubbar hela sockrade frysta;527;86;0,5;0,1;19,7
Broccoligratäng mjölk kaffegrädde ost ägg hemlagad;528;100;6,2;6,5;3,4
Grekisk sallad;529;97;3,1;7,7;3,4
Grönsakssufflé;530;99;5;5,3;7,2
Grönsakslåda;531;84;5,4;4;5,8
Grekisk sallad m feta ost;532;77;2,9;6,1;2
Grönsaksbuljong pasta/pulver storhushåll;535;238;14,9;8,8;24,6
Kelp torkad;536;259;7,9;0,5;54,8
Agar torkad;537;314;2,3;0,3;74,3
Quorn svampprotein färs bitar filé;538;104;13,7;2,1;5
Broccolilåda rökt skinka hårdost;539;151;12,9;9,7;2,9
Grönsaksblandning för wokning;540;47;2,1;0,4;7,4
Ärter o grönsaksblandningar frysta el konserv;541;65;4,2;0,5;9
Wokgrönsaker m nudlar;543;81;1,7;4,1;8,1
Grönsaksbuljong ätfärdig;545;5;0,4;0,2;0,4
Honungsmelon;546;37;0,5;0,1;7,9
Nätmelon;547;37;0,9;0,3;7,1
Rabarber;548;19;0,9;0,2;2,7
Vattenmelon;549;34;0,6;0;7,5
Ananas;550;55;0,4;0,4;11,7
Apelsin;551;49;0,8;0,1;10,2
Aprikos;552;51;1,4;0,4;9,3
Banan;553;101;1;0,5;22
Björnbär;554;44;0,7;0,4;6,5
Blåbär;555;53;0,7;0,8;9,1
Blåbär frysta;556;43;0,5;0,5;7,6
Blåbär sockrade frysta;557;83;0,4;0,1;18,3
Cherimoya;558;99;1,3;0,4;21,1
Citron;559;41;1,1;0,3;7,3
Småcitrus clementiner mandariner tangeriner satsumas;560;44;0,6;0,2;8,9
Fikon;561;58;0,8;0,3;11,7
Fläderbär;562;67;0,7;0,5;11,4
Jordgubbar skivade sockrade frysta;563;102;0,5;0,1;23,8
Kaktusfikon;564;39;0,7;0,5;6,7
Kiwi;565;56;0,9;0,4;10,2
Krusbär;566;38;0,8;0,6;5,7
Physalis;567;57;1,8;0,6;8,9
Kumquat;568;66;0,9;0,1;14,2
Kvitten;569;63;0,4;0,1;13,1
Surkörsbär;570;61;0,9;0,1;13,3
Sötkörsbär;571;69;1,1;0,1;14,7
Lime;572;47;0,7;0,2;10,3
Lingon;573;57;0,7;0,5;11
Mango;574;69;0,5;0,3;15
Kokbanan;575;136;1,3;0,4;30,4
Nektarin;576;56;0,9;0,5;11,7
Papaya;577;43;0,6;0,1;8,8
Paradisäpplen;578;81;0,4;0,3;17,9
Passionsfrukt;579;76;2,2;0,7;7,4
Persika;580;43;0,7;0,1;8,6
Sharon;581;77;0,6;0,2;16,9
Plommon;582;47;0,5;0,1;10,2
Päron;583;54;0,4;0,1;11
Tranbär;584;46;0,4;0,2;8,9
Röda vinbär;585;49;1,2;0,2;8,7
Svarta vinbär;586;77;1,4;1,3;11,5
Vindruvor;587;75;0,7;0,6;15,7
Äpple m skal;588;56;0,3;0,1;12,4
Äpple u skal;589;63;0,2;0,1;14,6
Hallon frysta;590;38;1;0,5;5,4
Björnbär frysta;591;58;1;0,5;8,8
Björnbär sockrade frysta;592;69;1;0,5;12
Jordgubbar frysta;593;33;0,5;0,3;6,4
Hallon blåbär sockrade frysta;597;83;0,6;0,2;18
Apelsinskal;598;104;1,5;0,2;21,8
Aprikoser torkade;599;245;3,6;0,5;49,9
Banan torkad;600;374;3,9;1,8;80,8
Blåbär torkade;601;330;4,6;1;69,8
Citronskal;602;64;1,5;0,3;11,9
Dadlar torkade;603;299;2;0,4;68
Fikon torkade;604;296;3,6;1,2;57,9
Katrinplommon 32,5 % vatten;605;251;2,6;0,5;53,9
Nypon u frön torkade;606;328;3,7;1,4;68,4
Nyponsoppa pulver berik;607;384;0,7;0,2;91,1
Persikor torkade;608;252;3,6;0,8;52,9
Päron torkade;609;282;1,9;0,6;63,4
Russin;610;318;3,2;0,5;69,4
Äpplen torkade;611;257;0,9;0,3;57,2
Frukt torkad;612;266;3,3;0,5;56,8
Papaya torkad;613;263;3,4;0,6;57,6
Ananas konserv m juice;614;62;0,4;0,1;14,2
Ananas konserv m medelsöt lag;617;87;0,4;0,1;20,2
Aprikoser konserv m juice;618;52;0,6;0;11,4
Aprikoser konserv m medelsöt lag;619;118;0,5;0,1;27,7
Fikon konserv m medelsöt lag;622;91;0,4;0,1;20,7
Kiwi konserv u lag;623;81;0,8;0,4;16,5
Röda körsbär surkörsbär konserv m medelsöt lag;624;94;0,7;0,1;21,5
Persikor konserv m medelsöt lag;625;83;0,4;0,1;19,5
Plommon konserv m medelsöt lag;626;94;0,4;0,1;21,8
Päron konserv m lättsöt lag;627;61;0,2;0;13,8
Päron konserv m medelsöt lag;628;77;0,2;0,1;17,6
Äpplen konserv;629;69;0,2;0,5;14,9
Grapefrukt konserv m lättsöt lag;630;63;0,6;0,1;14,6
Fruktcocktail konserv m medelsöt lag;632;81;0,4;0;18,9
Mandarin konserv m lättsöt lag;633;65;0,4;0,1;14,6
Mango konserv m medelsöt lag;634;99;0,3;0,1;23,3
Apelsinsallad;635;67;0,6;0,1;14,9
Frukt bär konserv osötad el m sötmedel u energi;637;35;0,4;0,1;7,6
Fruktsallad;638;90;1;1,8;15,9
Apelsinjuice färskpressad;641;48;0,7;0,2;10,6
Apelsinjuice konc;642;165;2,4;0,2;37,5
Citronjuice färskpressad;645;35;0,4;0;8,3
Citronjuice konc konserv;646;32;0,4;0,3;6,8
Småcitrusjuice färskpressad;647;44;0,5;0,2;9,9
Grapefruktjuice färskpressad;649;39;0,5;0,1;8,8
Limejuice färskpressad;652;40;0,4;0,1;9,2
Risgrynsgröt m lättmjölk;654;73;3;0,4;14
Risgrynsgröt;655;90;3;2,8;13,1
Limejuice konc konserv;657;28;0,2;0,2;6,2
Druvjuice konserv drickf;658;63;0,6;0;14,6
Äppeljuice konserv drickf;659;48;0;0,1;11,4
Ananasjuice konserv drickf;660;55;0,3;0,1;12,8
Apelsinjuice drickf pastöriserad ;661;43;0,6;0,1;9,8
Aprikosnektar drickf pastöriserad ;664;58;0,3;0,1;13,1
Persikonektar drickf pastöriserad ;665;55;0,3;0;13
Päronnektar drickf pastöriserad ;666;60;0,1;0;14,3
Apelsinnektar osötad drickf pastöriserad berik;668;31;0,5;0;7,2
Katrinplommondryck konserv drickf;670;70;0,6;0;15,5
Nypondryck berik;671;41;0,1;0,1;9,7
Havredryck jordgubb/skogsbär berikad Oatly ;672;60;0,9;1,2;10,7
Gröt för barn fullkorn ätf berik ;674;97;3,5;2;15,8
Bovetegröt;675;84;2;0,4;17,2
Grahamsgröt;676;63;1,9;0,5;11,5
Havregrynsgröt fullkorn;677;67;2,4;1,3;10,4
Molinogröt grahamsmjöl torkad frukt linfrö;678;62;1,4;1,3;9,9
Frukostflingor puffat rostat ris Vårgårda ris;679;383;6;0,9;86
Rågkross fullkorn rågflingor ångprep;680;323;9,2;1,5;61,1
Kornmjölsgröt;681;65;1,7;0,6;12,2
Mannagrynsgröt;682;89;4,2;2,9;11,3
Kruskagröt fullkorn russin havregryn veteflingor vetekli;683;61;1,8;0,6;10,8
Rågmjölsgröt;684;62;1,6;0,5;11,4
Vit stuvning ;685;100;3,6;6,1;7,6
Vällingpulver fullkorn berik;688;412;24,5;10,5;52,4
Vällingpulver osockrat fullkorn 38% berik ;689;450;15;16,4;58,9
Vällingpulver osockrat fullkorn 48% berik ;690;435;16;16;53,6
Vällingpulver majs berik;691;437;18;14,5;57
Välling för barn fullkorn osockrad berik ;692;65;2,7;2,1;8,3
Välling för barn fullkorn berik;693;66;2,4;2,4;8,2
Välling för vuxna fullkorn berik;694;71;3,6;1,9;9,2
Havrevälling;695;60;2,1;1,6;8,8
Mannagrynsvälling;696;44;2,2;1,8;4,6
Vetemjölsvälling;698;62;2,8;3;5,8
Välling för vuxna fullkorn osockrad berik ;699;64;3,3;1,7;8,6
Havredryck Oatly;700;44;1,1;1,6;5,8
Havredryck choklad berikad Oatly;701;58;1;1,6;9,4
Havregryn fullkorn ångprep el havremjöl fullkorn  ;702;369;13,3;7;57,6
Fiberhavregryn fullkorn ångprep;703;353;13,2;6,7;52
Havrekli;704;356;19;7;45
Korngryn kornflingor fullkorn ångprep;705;351;9,2;3,1;65,4
Frukostflingor typ corn flakes majs berik ;706;380;8;0,9;82,5
Vetekross veteflingor fullkorn ångprep;707;329;10,2;2;61
Vetegroddar;708;349;27,5;9,4;31,4
Vetekli;709;294;16,6;5;30,4
Frukostflingor fullkornsvete Weetabix;710;366;11,3;2,5;68,4
Kruskakli grovt vetekli;711;269;12,7;5;24,9
Frukostflingor flingblandning fullkorn Basmüsli;712;367;9,3;4,1;67,6
Frukostflingor berik Rice Krispies;713;385;5,4;1,2;86,3
Frukostflingor vetekli malt rostat Allbran Plus;714;336;12,4;4,6;47,3
Frukostflingor fullkorn berik Havrefras;715;394;10,4;6,4;68,9
Frukostflingor ris socker kakao Coco Pops;716;393;4,6;2,6;85,2
Frukostflingor fullkorn musli frukt 33% olja socker;719;382;6,6;6,5;69,6
Frukostflingor flingblandning müsli fullkorn frukt nötter socker el honung;721;369;8;3,8;70,6
Frukostflingor flingblandning glutenfri frukt socker soja;723;368;7,5;3,7;73,2
Frukostflingor fullkorn vetekli berik All-Bran Regular;724;364;9,9;2,8;66,8
Frukostflingor fullkorn berik Special K;725;386;14,6;1,7;75,1
Frukostflingor berik Kalaspuffar;726;395;5,7;1,5;86,4
Frukostflingor berik Frosties;727;388;5,3;0,9;87,5
Frukostflingor fullkorn berik Loops;728;379;7,7;3,2;75,5
Pannkaka tunn hemlagad;731;199;7,1;8,4;23,3
Fattiga riddare;732;200;6,9;5,3;30,2
Pannkaka tunn m lättmjölk stekt;733;163;7;5,6;20,5
Ugnspannkaka m lättmjölk ugnsbakad;734;174;7,7;6,2;21,6
Ugnspannkaka;735;179;7,6;6,9;21,3
Våfflor äggvåfflor;736;234;6,5;12,3;24,2
Våfflor frasvåfflor;737;300;4,7;18,7;28
Pannkakssmet m havre 3% fett ostekt Oatly;738;119;3,5;3;19,1
Fläskpannkaka;739;209;9;11,7;16,8
Räkcrêpe mellanmjölk mjölk vispgrädde (crêpe 56 % fyllning 44 %) hemlagad;740;149;8;7,9;11,3
Räkcrêpe (crêpe 63 % fyllning 37%) fryst värmd;741;175;6,5;8;18,9
Champinjoncrêpe mellanmjölk mjölk vispgrädde (crêpe 56% fyllning 44 %) hemlagad;742;166;6,5;9,9;12,4
Baguette m salami brieost soltorkad tomat sallad;743;240;9,3;13,4;19,7
Ciabatta m mozzarella soltorkad tomat sallad;744;191;7,9;5,9;25,1
Bagel m rökt lax philadelphiaost sallad;745;212;9;7;26,8
Champinjoncrêpe (crêpe 63 % fyllning 37 %) fryst värmd;746;163;5,4;6,8;19
Crêpefyllning kall förrätt;747;133;14,6;7,6;1,6
Pannkaka tunn fylld ospec.;748;181;10,6;9,3;13,4
Vårrulle fryst värmd;750;217;6,9;10,8;22,4
Vårrulle värmd restaurang;751;316;6,6;23,8;18,7
Pajskal gräddat;752;479;5,9;32,1;41,3
Pirog u fyllning gräddad;754;466;6,5;31,3;39,4
Smulpajdeg gräddad;755;503;5;32,1;48,3
Köttfärspaj;756;200;9,8;13,2;10,4
Kycklingpaj;757;129;11,2;6;7,1
Pirog m köttfärsfyllning;758;347;8,8;23,1;26,1
Pizza m skinka salami köttfärs;759;267;11;11,2;29,5
Köttfärspaj fryst värmd;760;344;9,9;22,1;26,1
Pirog köttpirog fryst värmd;761;295;8,8;13,6;33,5
Pizza Capricciosa rökt skinka fryst el kyld värmd;762;248;11,5;10,1;27
Pizza Capricciosa rökt skinka restaurang;763;267;11;13,4;25
Pizza Pepperoni rökt korv fryst värmd;764;297;13,6;12,9;30,7
Pizza pan pizza rökt griskött fryst värmd;765;280;13,1;13,2;26,5
Pizza pan pizza m rökt griskött restaurang;766;238;11,4;9,2;26,3
Ost- o skinkpaj fryst värmd;767;319;11,1;21,4;20,3
Fiskpaj;768;248;10,4;16,1;15,5
Pizza m räkor musslor;769;168;8,2;7,4;16,5
Vol-au-vent m räkstuvning;770;193;6,6;10,5;17,8
Skaldjurspaj fryst värmd;771;306;10,4;19,6;22
Pizza Marinara skaldjur restaurang;772;258;12,9;12,7;22,2
Pizza vegetarisk;773;167;7,3;6,9;18,1
Pizza Margherita ost tomatsås;774;176;7,7;6,9;19,9
Kycklingburgare McDonalds;775;229;10,7;10,1;22,8
Fiskburgare McDonalds;776;281;12,4;13,1;27,3
Baguette m rostbiff potatissallad sallad;777;197;6,6;5,7;28,4
Baguette grov m skaldjur tonfisk smögenröra sallad;778;189;5,7;6,1;26,2
Baguette grov m ost skinka sallad lättmajonnäs;779;184;7,7;4,6;25,9
Bagel m salami philadelphiaost sallad oliv;780;166;5,9;7,5;17,2
Smörgås typ sandwich räkor ägg sallad majonnäs;781;295;7,3;19,7;21,6
Sandwich m rökt kalkon keso soltorkad tomat sallad;782;180;10,3;5,3;21,2
Smörgås typ sandwich salami keso sallad;783;164;9,1;6,4;16,2
Tunnbrödsrulle m pastrami potatis sallad majonnäs;784;159;5,4;7,8;15,6
Wrap vetetortilla m spenat ris köttfärs ost;785;142;7,9;3,3;19,3
Wrap vetetortilla m kycklingfajitas gräddfil sallad;786;136;5,7;7,1;11,1
Enchilada vetetortilla m köttfärs nachos ost sallad;787;170;6,7;10,2;11,7
Pitabröd m falafel sallad sesam pepperoni;788;150;5,2;5,7;17,3
Ost- o skinkpaj m mellanmjölk matlagningsgrädde hemlagad;789;286;11,4;19,8;15
Pajfyllning förrätt;790;150;10,1;9,9;5,1
Wrap vetetortilla m fetaost oliver sallad vitlöksdressing;792;175;5,1;7,5;20,1
Matmuffins grov fullkorn m getost fårost broccoli spenat soltorkade tomater;793;292;9,5;16;26
Pizzapålägg skinka tomat hårdost;795;110;9;7;2,4
Ost- och skinkpaj;796;262;12,1;17;15
Smörgåstårta landgång leverpastej Keso skinka ägg räkor;797;225;11,5;12;17,2
Pizza m skaldjur skinka fryst;800;238;10,1;10,4;25,1
Rismjöl vitt;810;347;6;1,4;75,3
Risdiet flingor;811;371;7;1,1;80,9
Ris kinesiskt asiatiskt kokt u salt restaurang;814;144;2,7;1,2;30,1
Vildris fullkorn okokt;817;360;14,7;1,1;68,7
Ris vildris kokt;818;102;4;0,3;19,5
Glasnudlar;819;350;0,2;0,1;85,6
Risotto fullkorn vegetarisk m råris sesamfrön;821;140;3,9;4,2;20,1
Risotto fullkorn vegetarisk m råris cashewnötter;822;141;3,9;5,4;17,9
Vinbladsdolma m ris konserv;824;162;2,5;11,3;11,5
Bovete hela el krossade korn;825;339;11,1;2;65,3
Durra o andra sorghumarter fullkorn;826;364;11;3,3;69,8
Hirs fullkorn hela el krossade korn ;827;352;10,5;2,9;68,4
Mannagryn;828;351;10,1;1,3;72,1
Bulgur;829;353;12,3;1,3;68,2
Couscous;831;361;12,8;0,6;72,4
Couscous tillagad;832;108;3,8;0,2;21,8
Korngryn kokta hemlagade;833;70;1,6;0,5;13,4
Hirs fullkorn kokt;834;117;3,5;1;22,7
Majsgryn polenta kokt;835;75;1,7;0,3;15,6
Apelsinris;836;155;1,4;9,9;14,5
Ris à la Malta;838;232;3,5;9,7;32
Risgrynskaka el risgrynspudding;839;110;4,3;3,7;14,4
Risifrutti 6% fett;840;154;2,8;6,4;20,8
Risifrutti light fett 1,5% ;841;103;2,1;1,5;19,9
Paella;842;106;8,4;4,2;8,2
Risotto falukorv el tonfisk;843;200;9,7;9,2;19,1
Nudelsoppa risnudlar curry sesamolja;844;52;0,7;0,7;10,3
Pasta;845;360;12,5;1,2;71,9
Pasta kokt u salt;846;128;4,2;0,5;25,8
Pasta berik;849;356;11;1,5;71,8
Pasta berik kokt u salt;850;128;4;0,5;25,9
Pasta färsk m ägg;852;132;5,3;1,6;22,8
Stuvade makaroner;853;116;5;2,8;17,1
Makaronipudding m skinka falukorv äggstanning;856;140;8,3;6,3;12,1
Pastasallad kött korv m vinägrettsås;857;200;9,8;12,6;11,5
Köttfärssås o spaghetti;858;123;6,4;3;16,6
Lasagne;860;117;5,3;4,1;14,4
Ravioli m sås fryst el konserv;861;107;3,8;3,5;14,7
Tortellini m köttfyllning;862;157;5,6;4,3;22,2
Pasta m tonfisk;865;145;6;4,5;19,3
Lasagne vegetarisk;866;113;5,9;4;12,7
Makaronilåda vegetarisk;867;117;6,2;3,9;13,5
Lasagne portionsbit typ Billys;869;124;5,3;5,1;13,2
Pasta Äggnudlar;870;377;14;4,2;68,2
Tortellini ravioli m ostfyllning ospec.;872;186;7,2;5,3;25,7
Nudelsoppa olika smaker kryddad;873;81;1,9;3,5;9,4
Bondbönor torkade;874;318;25;1,7;41,9
Bruna bönor torkade;875;317;22;1,5;45,1
Röda bönor torkade;877;324;22;1,5;48
Röda bönor torkade kokta u salt;878;108;7,8;0,5;14,5
Vita bönor torkade;879;319;22;1,6;45,7
Vita bönor torkade kokta u salt;880;108;7,8;0,6;14,2
Kikärter torkade;881;352;20,5;4,8;51
Mungbönor torkade kokta u salt;883;97;7;0,4;13,7
Linser torkade;884;325;24;1;48,5
Linser torkade kokta u salt;885;105;7,8;0,3;15,6
Mungbönor torkade;886;320;24;1,3;44,5
Sojabönor torkade;887;398;34;17,7;18,3
Sojabönor torkade kokta u salt;888;128;11;5,7;5,8
Vignabönor svartögda bönor torkade;889;336;23;1,5;52,1
Vignabönor svartögda bönor torkade kokta u salt;890;69;5,1;0,3;9,1
Gröna el gula ärter torkade;891;317;21,5;1;49,2
Bruna bönor kokta;892;137;8;0,5;21,7
Gula ärter kokta m salt;896;137;9,3;0,4;21,4
Ärtsoppa m fläsk hemlagad;897;85;6,4;2,1;8,9
Chili con carne;898;109;7,8;5,3;5,6
Ärtsoppa m fläsk pulver tillagad;899;53;3,4;0,6;7,3
Ärtsoppa m fläsk konserv tillagad m vatten;900;85;6,1;2,3;7,1
Vita bönor i tomatsås konserv;901;97;5,1;1,2;13,9
Vita bönor i tomatsås;902;78;5,8;0,6;7,9
Linssoppa;903;43;2,5;0,7;5,8
Ärtsoppa vegetarisk;904;64;4,3;0,3;9,8
Tofu sojabönsost;905;74;7,8;4,2;0
Sojamjöl fett ca 20% ;906;446;37;23,5;16
Sojadryck;907;60;2,5;1,5;9,1
Miso fermenterad sojabönspasta;908;173;10,5;4,6;21
Sojasås;909;57;7,5;0;6,6
Sojasås söt;910;193;4,3;2,1;38,5
Sojakorv konserv 15% fett;911;199;12;15;3,5
Sojaglass vegetarisk u laktos fett 11% Tofuline;912;216;2,3;11;27
Sojabiff stekt;915;144;7,2;7,2;10,9
Sojakorv konserv stekt;916;210;12,6;15,8;3,7
Kikärtsbiffar falafel friterade;919;171;7,5;7,2;13,8
Lamm bog rå;920;134;20,1;5,9;0
Lamm kotlett rå;921;232;19;17,3;0
Lamm lägg rå;922;137;24,5;4,2;0
Lamm rygg lamm hals rå ;923;177;17,6;11,9;0
Lamm stek rå;924;112;20,9;2,6;0
Lamm färs fett 20 % rå;925;247;17,4;19,7;0
Lamm tunnbringa rå;926;184;17,8;12,6;0
Lamm kotlett fett bortskuret rå;927;103;20;2,5;0
Hare kött hare rå;928;115;21,5;3,1;0
Hjort bog dovhjort rå;930;105;22,5;1,6;0
Hjort stek dovhjort rå;931;101;22;1;0
Hjort ryggbiff rå;932;102;22,6;1,2;0
Häst kött rå;933;166;19;10;0
Kalv bog rå;934;106;19,9;2,8;0
Kalv bringa rå;935;186;18,1;12,7;0
Kalv filé rå;936;105;20;2,7;0
Kalv fransyska rå;937;108;19,9;3,1;0
Kalv innanlår rå;938;107;21;2,5;0
Kalv kotlett rå;939;122;20,5;4,4;0
Kalv lägg rå;940;98;20;1,9;0
Kalv ytterlår rå;941;117;21,2;3,5;0
Kalv tunnbringa rå;942;173;18,7;11;0
Kalv högrev rå;943;135;19,2;6,4;0
Kanin kött rå;944;125;22;4;0
Nöt biff m ben clubstek rå;945;162;19,7;9,3;0
Nöt biff ryggbiff rå;946;123;21,8;3,9;0
Nöt oxbringa;947;205;17,6;15,1;0
Nöt oxbringa rimmad rå;948;205;17,6;15,1;0
Nöt oxfilé rå;949;124;21,7;4,1;0
Nöt fransyska rå;950;116;20,8;3,5;0
Nöt färs fett 10 % rå;951;182;20,1;11,3;0
Nöt högrev rå;953;144;20,6;6,9;0
Nöt innanlår rå;954;114;23,8;1,6;0
Nöt lägg rå;955;108;20,5;2,8;0
Nöt bog märgpipa rå;956;118;21;3,7;0
