Livsmedelsnamn;Livsmedelsnummer;Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g)
Nöt rostbiff rå;957;125;22,7;3,2;0
Nöt rulle rimmad rå;958;103;21,5;1,8;0
Nöt ytterlår rå;959;111;21,3;2,8;0
Nöt entrecôte rå;960;141;21,7;6,1;0
Nöt grytbitar rå;961;144;20,6;6,9;0
Nöt kött hackebiff rå fryst;962;159;20;8,8;0
Nöt färs köttfärs fett 15% rå;963;205;19,4;15;0
Nöt högrev fett bortskuret rå;964;149;19,5;7,9;0
Ren stek rå;965;108;22,6;1,8;0
Ren bog rå;966;109;23,3;1,6;0
Ren skav fryst rå;967;123;20,3;4,9;0
Rådjur kött rå;968;106;24;1,3;0
Gris bog rå;969;137;18,5;7;0
Gris fläskfilé rå;970;107;20,6;2,6;0
Gris fläsk kotlett fettkant 5 mm rå;971;185;19,4;12;0
Gris revbensspjäll rå;972;193;17,7;13,7;0
Gris fötter rå;973;207;23,5;12,6;0
Gris skinka julskinka rimmad fett ca 3% rå;974;108;20,1;3;0
Gris fläskben rå;975;193;17,7;13,7;0
Gris picnicbog rå ;976;121;19,5;4,7;0
Gris grytbitar rå;977;164;19,3;9,7;0
Gris fläskkarré rå;978;171;17,8;11,2;0
Gris fläsk färs fett 20% rå;980;242;16;20;0
Gris bogbladsstek rå;981;137;18,5;7;0
Gris fläsk kotlett fett bortskuret rå;982;103;21,6;1,7;0
Gris fläsk kotlett fettkant 2 mm rå;983;134;20;6;0
Gris fläsklägg u svål putsad rå;984;126;19,7;5,2;0
Gris fläsk sida m svål i bit rå;985;268;17,2;22,4;0
Gris stekfläsk sida m svål skivor rå;986;253;17,1;20,7;0
Gris flintastek m svål rå;987;191;18,8;13;0
Gris skinka innanlår rå;988;100;20,8;1,8;0
Gris skinka fransyska rå;989;101;19,8;2,3;0
Gris skinka ytterlår rå;990;123;19,7;4,9;0
Gris sidfläsk el stekfläsk rimmat i skivor rå;991;353;11,6;34,6;0
Gris fläsk färs fett 8% rå;992;144;18;8;0
Älg skav fryst rå;995;123;19,8;4,8;0
Nöt oxsvans fett bortskuret rå;996;171;20;10,1;0
Gris svål rå;997;277;23,5;20,5;0
Häst kött hamburgerkött rökt;998;100;21;1,7;0
Nöt saltkött rimmat kokt;999;110;22,5;2,1;0
Nöt kött rökt ;1000;106;20;2,8;0
Ren kött varmrökt rå;1001;123;23,1;3,2;0,1
Ren kött torkat;1002;318;40;17,6;0
Gris bacon;1003;345;13,4;32,8;0
Fläskbog gris konserv gelé 6-8% ;1005;116;16,6;5,4;0,2
Gris kassler kotlettrad rökt;1006;106;20,7;2,2;0,5
Skinka gris konserv gelé 8-11% ;1007;101;18,3;3;0
Gris skinka italiensk lufttorkad;1008;245;31,9;12,4;1,5
Gris skinka fett 6% rökt;1009;138;21;6;0
Gris skinka fett 3% rökt;1010;116;22,1;3;0
Gris sidfläsk rökt;1011;394;15,4;37,5;0
Corned beef konserv;1012;218;27;12,1;0,4
Nöt flankstek rå;1013;135;22;5,1;0
Nöt biff ryggbiff stekt;1014;148;26,4;4,7;0
Gris skinka julskinka fett ca 4,5%  rimmad kokt;1015;130;22;4,5;0,1
Gris kassler kotletterad rökt stekt el värmd;1016;109;21,5;2,3;0,5
Nöt entrecôte stekt;1017;170;26;7,3;0
Gris bog stekt ;1018;137;20,4;6,2;0
Gris fläskött kokt;1019;191;25,8;9,8;0
Gris sidfläsk rimmat stekt;1020;358;16,7;32,8;0
Gris fläsk ben m kött kokt;1022;259;23,8;18,4;0
Gris fläsk filé skivor stekt;1023;134;25,9;3,3;0
Gris fläsk karré skivor stekt;1024;233;24,2;15,2;0
Gris fläsk kotlett stekt;1025;222;23,3;14,4;0
Gris fläsk lägg u svål kokt;1027;175;27,4;7,2;0
Gris fläsk kött grillat;1028;228;23;15,2;0
Kokt fläskrulad /rullsylta;1029;255;15,5;21,2;0,9
Gris fötter kokta;1030;272;30,8;16,5;0
Hare stek stekt;1031;135;25,2;3,6;0
Kalv filé stekt;1032;132;25,1;3,4;0
Kalv kotlett stekt;1033;142;23,8;5,1;0
Kalv kött kokt;1034;161;22;8,1;0
Kalv stek stekt;1035;126;24,6;2,9;0
Lamm kotlett stekt;1036;272;22,3;20,3;0
Lamm stek stekt;1037;128;24;3;0
Nöt högrev kokt;1038;181;26;8,7;0
Nöt stek el grytstek kokt;1039;141;25,3;4,3;0
Nöt oxbringa rimmad kokt;1042;280;24;20,6;0
Oxrulad nöt stekt;1043;206;29,4;9;0,8
Nöt rostbiff ugnsstekt;1044;138;25,2;3,6;0
Gris revbensspjäll ugnsstekt grillat;1045;248;22,8;17,5;0,2
Rådjur kött ugnsstekt;1047;129;29,1;1,5;0
Ren kött kokt;1048;156;33,4;2,3;0
Ren kött ugnsstekt;1049;121;25,2;2;0
Älg stek ugnsstekt el grillad;1050;123;26,8;1,6;0
Gris fläsk karré stekt u steksky;1055;233;19,6;17,3;0
Gris skinkstek stekt u steksky fryst;1056;164;26,5;6,4;0
Nöt stek fryst stekt u steksky ;1057;135;25,5;3,6;0
Nöt rostbiff tillagad u salt ugnsrostad;1058;124;24;3;0
Gris revbensspjäll grillat ugnsstekt;1059;265;26,5;17,8;0
Dillkött m nötkött m purjolök morötter o sås hemlagad;1060;115;8,2;6,8;4,9
Kalops nötkött lök morötter sås hemlagad;1061;100;9,6;4,6;4,6
Biff Stroganoff nötkött;1062;155;15,4;8,8;3,3
Rimmat sidfläsk el stekfläsk gris m löksås;1063;130;5,2;9,1;6,8
Rimmat sidfläsk gris panerat stekt;1064;410;12,7;37,1;7,4
Fläskkotlett gris panerad stekt;1065;245;19;15,7;7,1
Wienerschnitzel m griskött;1066;183;16,6;9,2;8,3
Fläskköttgryta  m grönsaksblandning utan fett;1067;121;13,7;4,7;5,3
Gulasch nötkött;1068;99;9,5;5;3,6
Hargryta;1069;111;15,1;3,9;3,1
Kalvköttgryta lök tomat morötter rotselleri ;1070;95;8,4;5,5;2,4
Kalvläggsgryta typ Osso buco;1072;81;10,3;3;2,4
Köttsoppa nötkött;1073;46;5,9;1,8;1,4
Lammfrikassé;1074;171;14,1;12;1,9
Lammköttgryta lök tomat;1075;155;13,8;8,9;4,3
Lammköttgryta lök kålrot i lergryta;1076;100;13,6;3,9;2,1
Nötköttgryta lök purjolök morötter;1077;88;8;4,2;4
Pepparrotskött nötkött lök morötter sås;1078;107;13,9;4,5;2,7
Nötköttgryta lök tomat morötter rotselleri i lergryta;1079;80;10,5;2,6;3,1
Renskav stekt m vispgrädde;1080;276;19,8;21,9;1,4
Renskavsgryta;1081;153;13,9;10;2,1
Skinksås gris mjölk;1082;113;9,1;5,6;6,4
Kalops;1083;120;14,2;6,1;2,3
Fläskköttgryta gris grönsaker;1085;96;6,8;5,2;4,7
Biff Stroganoff nötkött fryst;1087;108;11,9;4,4;4,8
Dillkött nötkött m sås fryst;1088;101;11;5;2,7
Kinesisk rätt friterat fläskkött m grönsaker ;1089;185;6,8;9,5;18
Chop Suey fläskfilé gris restaurang;1090;96;7,3;5,7;3,1
Nasi Goreng griskött restaurang;1091;176;7,9;7,2;18,8
Kalvfrikassé fryst;1094;126;14,8;6,2;2,5
Kalops nötkött fryst sås;1095;123;14,2;6;2,8
Köttsoppa nötkött konserv tillagad m vatten;1096;16;1,5;0,4;1
Biff m grönsaker o sås nötkött kinesisk rätt;1097;117;7,1;7,2;5,5
Kyckling kycklingburgare ca 7% fett fryst rå;1099;168;15;7;11
Kycklingköttbullar fett 12% stekta frysta;1100;224;16;12;13
Nöt hamburgare fryst rå;1101;221;14,7;17,3;2
Köttbullar råa frysta;1102;213;13,4;14,9;6,5
Pannbiff rå fryst;1103;204;13,2;14,4;5,6
Biff à la Lindström stekt hemlagad;1105;148;12,3;8,1;6,1
Köttbullar stekta hemlagade;1106;177;15,8;10;5,8
Köttfärslimpa ugnsstekt hemlagad;1107;142;14;7,7;4
Köttfärssås hemlagad i gjutjärnsstekpanna;1108;100;8,3;5,1;4,7
Pannbiff gris stekt;1109;196;14,3;12,5;6,4
Nöt hamburgare fett ca 9% stekt;1110;218;24,1;13,6;0
Hamburgare fett ca 17% stekt;1111;222;19;17,2;0
Köttfärsjärpar blandfärs 70/30 stekta ;1112;205;16,7;13,4;5,3
Kalvfrikadeller;1113;165;14,2;10,2;4,2
Kalvfärsbiffar;1114;221;15,5;17,2;1,6
Köttfärssås på nötfärs;1115;104;8,6;5,7;3,9
Köttfärssoppa;1116;60;5,4;3,6;1,4
Köttfärsgulasch m gräddfil;1117;136;8,5;9,5;4,5
Köttfärsgulasch u gräddfil;1118;133;9;9;4,5
Köttbullar nötfärs stekta;1119;186;17,5;10,4;5,4
Köttbullar grisfärs stekta;1120;185;13,5;11,8;6,4
Köttfärssås grisfärs;1121;134;8,4;9,5;3,5
Köttbullsgryta m lök äpple banan;1122;143;5,9;8,3;10,5
Köttfärssås till moussaka;1123;129;10,1;8,4;2,9
Köttfärsröra till tacobröd;1124;214;15,1;16,1;3,3
Lammfärsbiffar stekta;1125;246;15,9;17,3;6,3
Köttfärslimpa grisfärs;1126;184;13,4;11,7;6,1
Köttfärslimpa blandfärs;1127;193;15,3;12,2;6,2
Pannbiff nötfärs stekt;1128;189;17,2;10,2;7
Pannbiff blandfärs stekt;1129;229;15,4;16,8;5,1
Parisersmörgås u stekt ägg;1130;204;12,7;10,1;15
Älgfärsbiffar stekta;1131;137;20,5;2,9;6,8
Köttfärssås älgfärs;1132;83;9,7;3;3,6
Taco m köttfärsfyllning m.m.;1135;220;8,2;12,8;17,6
Biff à la Lindström stekt fryst;1136;193;12,8;12,7;5,8
Biff m bambuskott restaurang;1137;97;8,2;5,8;2,4
Nöt hamburgare fryst stekt ;1138;280;16,1;22,5;3,8
Kålpudding vitkål o köttfärs;1142;96;6,6;5;5,7
Köttbullar fett ca 15% stekta frysta;1143;215;13;14,9;7,4
Köttfärslimpa stekt fryst;1144;211;13,3;13,5;9,1
Köttfärssås fryst el konserv;1145;101;6,1;5,8;5,7
Kåldolmar stekta frysta u sås;1146;99;6;5,9;4,6
Kåldolmar stekta frysta m sås värmda;1147;93;4,8;5,1;6,4
Köttbullar stekta frysta m sås;1148;145;8;10;5,9
Pannbiff stekt fryst;1149;213;14;14,1;7,6
Anka ankbröst rå;1151;119;19,9;4,3;0
Anka m skinn rå;1153;396;11,5;39,5;0
Duva rå;1154;137;17,5;7,5;0
Duva m skinn rå;1155;287;18,5;24;0
Fasan rå;1156;127;23,5;3,6;0
Fasan m skinn rå;1157;174;22,5;9,3;0
Gås rå;1158;156;23;7,1;0
Gås m skinn rå;1159;362;15,9;33,6;0
Höna rå;1160;141;21;6,3;0
Höna m skinn rå;1161;262;18,7;21;0
Kalkon filé rå;1162;106;24,1;0,9;0
Kalkon m skinn rå;1163;126;21;4,6;0
Kyckling rå;1164;115;21,5;3,1;0
Kyckling kött m skinn rå;1165;170;18;11;0
Kyckling bröst m skinn rå;1166;148;21,5;6,9;0
Kyckling lår m skinn rå;1167;196;18,9;13,5;0
Kyckling vinge m skinn rå;1168;186;19,2;12,2;0
Ripa rå;1169;113;23,5;2;0
Kyckling bröstfilé u skinn ugnsstekt;1170;134;27,5;2,5;0
Kyckling ben m skinn rå;1171;198;19,3;13,5;0
Kyckling bröstfilé u skinn strimlor wokad i rapsolja;1172;164;29,4;5;0
Kyckling bröstfilé u skinn rå;1173;105;23,1;1,2;0
Kyckling lår u skinn rå;1174;114;19,6;3,9;0
Kycklingdelar kött m skinn marinerade;1175;175;17;12;0
Struts filé rå;1176;109;23;1,7;0
Struts filé stekt;1177;170;30;5,1;0,6
Kalkon kokt;1178;139;22;5,6;0
Duva m skinn stekt ;1180;447;28,8;37,3;0
Kyckling kokt;1181;167;31,3;4,5;0
Kyckling m skinn grillad;1182;239;25,2;15,4;0
Fasan stekt;1183;242;31,3;13;0
Gås stekt;1184;490;20,6;43,4;5,3
Höna kokt;1185;168;25;7,5;0
Kalkon m skinn stekt;1186;146;24,3;5,3;0
Kyckling bröst m skinn stekt;1188;208;30,1;9,7;0
Ripa stekt med salt;1189;136;28,2;2,4;0
Kyckling höns kokt grillat stekt ospecificerat;1190;200;28,1;9,7;0
Kalkon rökt;1191;133;24;4;0
Friterad kyckling;1193;310;22,5;21,9;5,8
Kalkongryta m grönsaker;1195;115;15;4,9;2,5
Kycklingfrikassé;1196;112;17,1;3,4;2,8
Kycklinggryta m lök tomat champinjoner;1197;105;9,6;6;2,8
Ostsufflé;1198;209;13,8;14,3;6,6
Bondomelett;1199;103;8,8;3,8;7,6
Braxen rå;1200;103;16,7;4;0
Regnbågslax rå;1201;161;18,6;9,6;0
Sej rå;1202;82;19,1;0,5;0
Hälleflundra rå;1203;118;18,7;4,8;0
Kyckling m grönsaker sås mandel kinesisk rätt;1204;183;14;12,7;3
Kycklinggryta m lök tomat champinjoner paprika i lergryta;1205;102;9,2;5,9;2,7
Kycklingsoppa klar;1206;40;5,8;0,8;1,8
Kyckling friterad Chicken McNuggets;1207;221;16,8;10,4;14,2
Kycklingsoppa redd pulver tillagad m vatten mjölk;1208;51;1,9;2,4;5,1
Kycklingsoppa redd pulver tillagad m vatten typ Varma koppen;1209;40;0,6;1,3;5,8
Kalvbuljong konc storhushåll;1210;222;18,8;8;18,5
Kalvbuljong konc låg salt storhushåll;1211;292;25;5,5;35
Köttbuljong konc storhushåll;1212;201;15,3;5;23,4
Köttbuljong konc låg salt storhushåll;1213;239;10;4,5;39
Skinkbuljong konc storhushåll;1214;249;19,5;13;13,5
Hönsbuljong konc låg salt storhushåll;1215;320;14;15;32
Hönsbuljong konc storhushåll;1216;238;14,7;12,7;16,2
Köttbuljong pulver tärning;1217;128;20;3;5
Köttbuljong konserv ätf;1218;7;1,2;0,2;0
Gelatinblad gelatinpulver;1219;350;86;0,1;0
Dopp i grytan;1221;96;3,2;0,9;17,7
Köttbuljong tärning ätf;1222;1;0,2;0;0,1
Köttbuljong ätf;1223;8;0,4;0,2;1,2
Hönsbuljong ätf;1224;5;0,3;0,3;0,2
Ägg konventionellt rått;1225;137;12,3;9,7;0,4
Äggula konventionellt;1226;319;15,6;28,6;0,6
Äggvita;1227;41;10,1;0;0
Äggstanning hemlagad;1228;114;7,2;7,2;5,1
Fransk omelett kaffegrädde;1229;213;10;18,9;1,3
Fransk omelett vatten;1230;144;9,4;11,9;0,3
Sufflé u fyllning gräddad;1231;136;7,1;8,4;8
Äggakaka;1232;133;7,2;7;10,3
Ägg konventionellt stekt;1233;194;12,3;16,2;0,4
Äggröra m mjöl;1234;124;7,6;8,1;5,2
Skinklåda;1235;102;7,5;3,8;9
Torsksufflé;1236;121;12,4;5,7;5,1
Kolja rå;1237;80;18,4;0,6;0
Kummel rå;1238;71;16,5;0,4;0
Lax rå;1239;181;18,4;12;0
Siklöja rå;1240;135;19;6,5;0
Sill rå;1241;148;16,7;9;0
Flundra rå;1242;94;18,3;2,2;0
Strömming rå;1243;108;18;4;0
Röding rå;1244;152;19,9;7,9;0
Tonfisk rå;1245;138;23,3;4,9;0
Torsk rå;1246;78;18,2;0,5;0
Vitling rå;1247;80;18,3;0,6;0
Ål rå;1248;351;14,6;33;0
Öring rå;1249;110;20;3,3;0
Pinklax rå;1250;103;21,4;2;0
Piggvar rå;1251;83;16,7;1,7;0
Sik urtagen varmrökt;1252;133;21,8;5;0
Abborre rå;1253;86;19,8;0,6;0
Lax odlad norsk fjordlax rå;1255;215;19,1;15,6;0
Öring svensk älvöring rå;1256;115;22;2,9;0
Lake rå;1257;71;16,5;0,5;0
Rödspätta rå;1258;91;21,1;0,6;0
Sik rå;1259;91;20,9;0,6;0
Makrill rå;1260;215;20,1;15,1;0
Regnbågslax odlad rå;1261;178;22,1;10;0
Gädda rå;1262;84;20,3;0,2;0
Gös rå;1263;84;20,2;0,2;0
Ansjovis skarpsill inlagd;1265;215;12,5;13,1;11,8
Böckling varmrökt;1266;199;21,2;12,8;0
Torkad fisk;1267;333;79;1,4;0
Lax konserv;1268;156;20,5;8,2;0
Lax sida kallrökt;1269;210;22,6;13,4;0
Sardeller konserv;1270;170;19,2;10,3;0,3
Sardiner i olja konserv;1271;284;24;21,1;0
Sardiner i tomatsås konserv;1272;217;20,5;14,8;0,6
Sill salt rå;1273;245;19;19;0
Strömming salt rå;1274;162;23,5;7,5;0
Tonfisk i olja konserv avrunnen;1275;189;24,9;9,9;0
Ål rund- o varmrökt;1277;347;19,1;30,5;0
Tonfisk i vatten konserv avrunnen;1278;106;24,1;1;0
Makrill urtagen varmrökt;1279;296;19,4;24,5;0
Lutfisk fryst rå;1280;28;6,3;0,3;0
Sill matjessill konserv;1281;314;16;22,6;12,1
Marulk rå;1282;65;15,8;0,1;0
Makrill konserv;1283;324;18,9;28;0
Sill salt urvattnad konserv;1284;209;16,5;16;0
Lax gravad;1285;179;21,2;9,2;2,7
Lax rimmad;1286;148;18,8;8,1;0
Böckling rospigg filé dubbel varmrökt;1287;261;19;20,8;0
Lax urtagen varmrökt;1288;169;22,6;8,7;0
Makrillfilé varmrökt;1289;327;20,1;27,7;0
Regnbågslax sida kallrökt;1290;190;20,4;12,1;0
Regnbågslax urtagen varmrökt;1291;157;21,9;7,7;0
Röding urtagen varmrökt;1292;163;21,4;8,6;0
Ål flat- o varmrökt;1293;428;17,8;40,2;0
Fiskpinnar stekta;1294;223;11,7;12,1;16,8
Makrillfilé konserv i tomatsås;1296;186;11,7;13,9;3,9
Surströmming;1297;82;11,8;3,9;0
Lutfisk kokt;1298;28;5,9;0,5;0
Salt sill panerad stekt hemlagad;1299;289;14,1;24,2;4
Strömmingsflundra panerad stekt hemlagad;1300;249;15,2;19,2;4,1
Torskfilé panerad stekt hemlagad;1301;143;17,6;6;4,5
Ål inkokt hemlagad;1302;383;15,8;36;0
Ål ugnsstekt hemlagad;1303;436;16,1;40,5;3
Abborre kokt;1304;102;23,6;0,7;0
Abborrfilé panerad stekt;1305;138;18,4;5,3;3,9
Friterad fisk;1306;149;14,9;5,4;9,9
Regnbågslax inkokt;1308;165;19,1;9,8;0
Regnbågslax panerad stekt;1309;215;19,8;14,1;2,5
Gädda kokt;1310;89;21,3;0,2;0
Gädda panerad stekt;1311;171;22,6;6,4;5,4
Hälleflundra kokt;1312;133;21;5,4;0
Hälleflundra panerad stekt;1313;177;18,5;9,5;4,2
Kolja kokt;1314;93;21,3;0,7;0
Kolja panerad stekt;1315;144;17,1;5,8;5,6
Lax stekt;1316;225;22,8;14,9;0
Lax kokt;1317;240;24,4;15,9;0
Makrill kokt;1318;227;21,2;16;0
Makrill panerad stekt;1319;261;19,2;18,4;5
Makrill opanerad stekt;1320;237;22;16,6;0
Piggvar kokt;1321;89;17,9;1,8;0
Rödspättafilé kokt;1322;102;23,6;0,7;0
Rödspättafilé panerad stekt;1323;158;20,3;5,7;6,2
Rödspättafilé opanerad stekt;1324;94;21,9;0,6;0
Sik kokt;1325;106;24,5;0,7;0
Sik panerad stekt;1326;151;19,8;5,8;4,6
Sill salt kokt;1327;264;20,9;20,3;0
Sill panerad stekt;1328;199;16,2;13;4,1
Strömming kokt;1329;134;22,3;5;0
Strömming panerad stekt;1330;159;17,7;8,2;3,3
Ättikströmming;1331;158;8,5;10,6;7,3
Kräftströmming;1332;78;11,9;2,7;0,9
Strömming opanerad stekt;1333;119;19,7;4,4;0
Tonfisk stekt;1334;176;29,7;6,2;0
Torskfilé kokt;1335;87;20,3;0,6;0
Torsk panerad stekt;1336;137;17,2;5,5;4,6
Torsk opanerad stekt;1337;84;19,4;0,5;0
Vitling kokt;1338;98;22,5;0,7;0
Vitlingfilé panerad stekt;1339;139;17,2;5,7;4,5
Fisk varmrökt;1340;231;21,1;16,5;0
Fiskbullar frysta;1344;78;7,8;2,4;6,2
Fiskbullar m hummersås konserv tillagad;1345;88;4,8;4,4;7,4
Laxpastej lättrökt;1346;355;12;30;10
Böcklingpastej;1347;364;13;31;9
Fiskpudding m ris hemlagad;1348;114;11,4;5,6;4,5
Fiskgratäng u potatismos hemlagad;1349;114;11,4;5,6;4,5
Böcklinglåda m äggstanning;1350;158;15,3;9,8;2,1
Fiskbullar panerade stekta;1351;155;5,7;9,2;12,4
Fiskbullar i buljong konserv stuvade m mjölk;1352;100;4,7;5,4;8,2
Fisksoppa;1354;45;6;1,1;2,4
Fiskpaté m skaldjur;1356;153;14,9;9,1;2,8
Fiskfärs kokt;1357;180;18,5;10;4,1
Fiskgratäng m dillsås potatismos;1358;96;8,6;2,9;8,4
Fiskgratäng m skaldjurssås o potatismos;1359;102;9,5;2,5;9,8
Laxmousse;1360;270;17,2;22,2;1
Sillbullar;1361;157;7,8;8,3;12,1
Sillsallad;1362;91;4,3;3,4;9,9
Sushi lax;1363;144;8,5;4,8;16,3
Sushi hälleflundra;1364;120;8;1,8;17,4
Sushi tonfisk;1365;126;8;1,5;19,4
Sushi rulle crabfish och gurka;1366;104;3,7;0,3;21,2
Tonfisksallad u dressing;1367;63;7,2;0,4;6,7
Sushi olika sorter;1368;124;7;2,1;18,6
Fiskgryta m purjolök morötter fänkål ärter;1370;97;12,7;3,7;2,6
Fisk m mandel o ströbröd fryst;1371;177;14;11;5,3
Fiskgratäng m potatismos o dillsås fryst tillagad;1372;141;7,4;7,4;11,3
Laxpaté;1373;221;13,1;18,1;0,9
Fiskgratäng m potatismos o räksås fryst tillagad;1374;133;7,1;6,8;10,6
Sushi blandning 7 bitar;1375;159;6,1;1,7;29
Torskrom sillrom m.fl. rå;1376;120;24,5;2,3;0
Kaviar orökt;1377;187;15,3;3,3;23,6
Kaviar typ Kalles;1378;393;9;33;16
Lättkaviar Kalles;1379;270;9;15,8;23
Stenbitskaviar;1381;118;14;5,5;3
Löjrom saltad;1382;126;24,5;2,3;1,5
Bläckfisk rå;1384;75;16,4;0,9;0
Blåmusslor kokta m lag avrunna;1385;113;18,5;3,3;2,3
Ostron;1386;56;9,5;2;0
Sniglar vinbergssnäckor;1387;87;16,1;1,4;2,2
Grodlår råa frysta;1388;69;16,4;0,3;0
Musslor konserv m lag;1389;51;7,9;0,7;3,1
Musslor konserv u lag;1390;96;15,8;2,5;2,3
Ostron konserv m lag;1391;58;9,5;2,2;0
Krabba blå rå;1392;83;18;1,1;0
Hummer rå;1393;86;16,9;1,9;0
Kräftor;1394;69;15,6;0,8;0,2
Räkor;1395;77;17,6;0,6;0
Hummer konserv el kokt;1396;90;18,7;1,5;0,1
Krabba kokt;1397;87;17,3;1,9;0
Krabba konserv;1398;98;17,4;2,5;1,3
Räkor konserv m lag;1399;77;16,2;0,8;1
Räkor konserv u lag;1400;109;24;1,1;0,3
Räkor kokta;1401;107;24;1,1;0
Kräfta konserv el kokt;1402;94;18;1,9;1,1
Havskräftor;1403;106;24;0,9;0
Friterade räkor;1404;287;10,6;14,8;27,8
Friterade räkor restaurang;1406;387;6,9;29,1;24,7
Friterad bläckfisk;1407;292;18,6;17,4;15,2
Friterad bläckfisk restaurang;1408;280;11,3;17,8;19,1
Hummersås;1409;129;8;9,5;3,1
Räksallad majonnäs vispgrädde sparris ärter champinjoner;1410;159;8;12,7;2,9
Räkstuvning;1411;102;7,5;5,8;5
Räksoppa;1412;61;6,5;2,7;2,5
Skaldjurssallad västkust m vinägrettsås;1413;87;8,9;4,4;2,4
Skaldjurssallad västkust u dressing;1414;56;9,5;0,9;1,9
Fiskpastej;1415;360;12,6;30,6;9,4
Medelhavssallad skaldjur tonfisk majonnäsdressing sallad;1416;126;7,4;9,5;2,5
Skaldjurspaté;1417;151;11,7;10,2;2,3
Räk- hummersoppa pulver tillagad m vatten mjölk;1418;51;2,1;2,1;5,8
Fiskbuljong konc storhushåll;1419;216;25;4,9;17,5
Fiskbuljong konc låg salt storhushåll ;1420;267;35;3,5;23
Fisksås pulver tillagad m mjölk vatten smör typ Smögen;1421;112;2,7;7,6;8,2
Fiskbuljong ätf;1422;4;0,3;0,2;0,3
Gris blod rå;1423;73;16,6;0,4;0,4
Nöt blod rå;1424;70;16,4;0,4;0
Blodbröd fullkorn hårt;1425;366;17,7;1,9;65,5
Blodpudding blodkorv fett 19%;1426;301;10,6;19;21
Blodpalt;1427;170;8,6;4,2;21,9
Blodpudding blodkorv fett 14%;1428;254;11;14;20
Blodbröd paltbröd;1429;287;14,4;2,8;47,8
Blodpudding blodkorv fett ca 10%;1430;203;12;9;17,3
Blodpudding blodkorv fett 13% stekt;1431;276;12;15,2;21,7
Blodpudding blodkorv fett 8% stekt;1432;220;13;9,8;18,8
Paltbröd kokt;1433;64;3,2;0,6;10,7
Lamm bräss rå;1434;131;15,3;7,8;0
Lamm hjärta rå;1435;119;17,1;5,6;0
Lamm lever rå;1436;149;22;5,3;3,2
